id,infinitiv,presens,preteritum,perfektum,inflId
A52680nb,skeise,skeiser,skeiset,skeiset,P010nb
A52680nb,skeise,skeiser,skeiste,skeist,P020nb
A14832nb,firedoble,firedobler,firedobla,firedobla,P001nb
A14832nb,firedoble,firedobler,firedoblet,firedoblet,P010nb
A14832nb,firdoble,firdobler,firdobla,firdobla,P001nb
A14832nb,firdoble,firdobler,firdoblet,firdoblet,P010nb
A5156nb,belaste,belaster,belasta,belasta,P001nb
A5156nb,belaste,belaster,belastet,belastet,P010nb
A58838nb,svulne,svulner,svulna,svulna,P001nb
A58838nb,svulne,svulner,svulnet,svulnet,P010nb
A63226nb,tynge,tynger,tynga,tynga,P001nb
A63226nb,tynge,tynger,tynget,tynget,P010nb
A63226nb,tynge,tynger,tyngde,tyngd,P030nb
A64423nb,undertegne,undertegner,undertegna,undertegna,P001nb
A64423nb,undertegne,undertegner,undertegnet,undertegnet,P010nb
A60425nb,terrassere,terrasserer,terrasserte,terrassert,P020nb
A47525nb,rasle,rasler,rasla,rasla,P001nb
A47525nb,rasle,rasler,raslet,raslet,P010nb
A3599nb,avkrefte,avkrefter,avkrefta,avkrefta,P001nb
A3599nb,avkrefte,avkrefter,avkreftet,avkreftet,P010nb
A40401nb,navne,navner,navna,navna,P001nb
A40401nb,navne,navner,navnet,navnet,P010nb
A45937nb,predisponere,predisponerer,predisponerte,predisponert,P020nb
A34309nb,legitimere,legitimerer,legitimerte,legitimert,P020nb
A2083nb,anskaffe,anskaffer,anskaffa,anskaffa,P001nb
A2083nb,anskaffe,anskaffer,anskaffet,anskaffet,P010nb
A1449nb,amalgamere,amalgamerer,amalgamerte,amalgamert,P020nb
A16888nb,forskylde,forskylder,forskyldte,forskyldt,P020nb
A68283nb,vikle,vikler,vikla,vikla,P001nb
A68283nb,vikle,vikler,viklet,viklet,P010nb
A5271nb,benke,benker,benka,benka,P001nb
A5271nb,benke,benker,benket,benket,P010nb
A5271nb,beinke,beinker,beinka,beinka,P001nb
A5271nb,beinke,beinker,beinket,beinket,P010nb
A56473nb,spurte,spurter,spurta,spurta,P001nb
A56473nb,spurte,spurter,spurtet,spurtet,P010nb
A68671nb,virkeliggjøre,virkeliggjør,virkeliggjorde,virkeliggjort,P126nb
A16336nb,forhindre,forhindrer,forhindra,forhindra,P001nb
A16336nb,forhindre,forhindrer,forhindret,forhindret,P010nb
A17671nb,fravriste,fravrister,fravrista,fravrista,P001nb
A17671nb,fravriste,fravrister,fravristet,fravristet,P010nb
A17435nb,frafalle,frafaller,frafalt,frafalt,P055nb
A3885nb,avstive,avstiver,avstiva,avstiva,P001nb
A3885nb,avstive,avstiver,avstivet,avstivet,P010nb
A33137nb,kvele,kveler,kvelte,kvelt,P020nb
A45644nb,porsjonere,porsjonerer,porsjonerte,porsjonert,P020nb
A47396nb,ramse,ramser,ramsa,ramsa,P001nb
A47396nb,ramse,ramser,ramset,ramset,P010nb
A1233nb,ærekrenke,ærekrenker,ærekrenka,ærekrenka,P001nb
A1233nb,ærekrenke,ærekrenker,ærekrenket,ærekrenket,P010nb
A1233nb,ærekrenke,ærekrenker,ærekrenkte,ærekrenkt,P020nb
A64255nb,underbetale,underbetaler,underbetalte,underbetalt,P020nb
A8818nb,chartre,chartrer,chartra,chartra,P001nb
A8818nb,chartre,chartrer,chartret,chartret,P010nb
A8818nb,sjartre,sjartrer,sjartra,sjartra,P001nb
A8818nb,sjartre,sjartrer,sjartret,sjartret,P010nb
A23484nb,hetne,hetner,hetna,hetna,P001nb
A23484nb,hetne,hetner,hetnet,hetnet,P010nb
A23484nb,heitne,heitner,heitna,heitna,P001nb
A23484nb,heitne,heitner,heitnet,heitnet,P010nb
A20093nb,glanse,glanser,glansa,glansa,P001nb
A20093nb,glanse,glanser,glanset,glanset,P010nb
A42261nb,omvende,omvender,omvendte,omvendt,P020nb
A18409nb,funksjonere,funksjonerer,funksjonerte,funksjonert,P020nb
A13655nb,falby,falbyr,falbydde,falbydd,P040nb
A4502nb,bardunere,bardunerer,bardunerte,bardunert,P020nb
A54867nb,smule,smuler,smula,smula,P001nb
A54867nb,smule,smuler,smulet,smulet,P010nb
A54867nb,smule,smuler,smulte,smult,P020nb
A5221nb,bemerke,bemerker,bemerka,bemerka,P001nb
A5221nb,bemerke,bemerker,bemerket,bemerket,P010nb
A25422nb,håndheve,håndhever,håndheva,håndheva,P001nb
A25422nb,håndheve,håndhever,håndhevet,håndhevet,P010nb
A25422nb,håndheve,håndhever,håndhevde,håndhevd,P030nb
A25422nb,handheve,handhever,handheva,handheva,P001nb
A25422nb,handheve,handhever,handhevet,handhevet,P010nb
A25422nb,handheve,handhever,handhevde,handhevd,P030nb
A20273nb,glipe,gliper,glipte,glipt,P020nb
A2418nb,apportere,apporterer,apporterte,apportert,P020nb
A15203nb,flakke,flakker,flakka,flakka,P001nb
A15203nb,flakke,flakker,flakket,flakket,P010nb
A35766nb,longere,longerer,longerte,longert,P020nb
A20219nb,glefse,glefser,glefsa,glefsa,P001nb
A20219nb,glefse,glefser,glefset,glefset,P010nb
A20219nb,glefse,glefser,glefste,glefst,P020nb
A16768nb,forsake,forsaker,forsaka,forsaka,P001nb
A16768nb,forsake,forsaker,forsaket,forsaket,P010nb
A16768nb,forsage,forsager,forsaga,forsaga,P001nb
A16768nb,forsage,forsager,forsaget,forsaget,P010nb
A5086nb,bekjempe,bekjemper,bekjempa,bekjempa,P001nb
A5086nb,bekjempe,bekjemper,bekjempet,bekjempet,P010nb
A61980nb,tredele,tredeler,tredelte,tredelt,P020nb
A10099nb,dikke,dikker,dikka,dikka,P001nb
A10099nb,dikke,dikker,dikket,dikket,P010nb
A36905nb,manipulere,manipulerer,manipulerte,manipulert,P020nb
A9496nb,degge,degger,degga,degga,P001nb
A9496nb,degge,degger,degget,degget,P010nb
A44937nb,pille,piller,pilla,pilla,P001nb
A44937nb,pille,piller,pillet,pillet,P010nb
A44937nb,pille,piller,pilte,pilt,P021nb
A7022nb,bore,borer,bora,bora,P001nb
A7022nb,bore,borer,boret,boret,P010nb
A47046nb,påberope,påberoper,påberopte,påberopt,P020nb
A29195nb,kikre,kikrer,kikra,kikra,P001nb
A29195nb,kikre,kikrer,kikret,kikret,P010nb
A15922nb,foranledige,foranlediger,foranlediga,foranlediga,P001nb
A15922nb,foranledige,foranlediger,foranlediget,foranlediget,P010nb
A97220nb,herpesere,herpeserer,herpeserte,herpesert,P020nb
A53749nb,skråstille,skråstiller,skråstilte,skråstilt,P021nb
A40706nb,neste,nester,nesta,nesta,P001nb
A40706nb,neste,nester,nestet,nestet,P010nb
A58625nb,sveipe,sveiper,sveipa,sveipa,P001nb
A58625nb,sveipe,sveiper,sveipet,sveipet,P010nb
A58625nb,sveipe,sveiper,sveipte,sveipt,P020nb
